angle,difference,,,,,,
35.25,0.008698231,,,,,,
35.5,0.029941355,,,,,,
35.75,0.049249342,,,,,,
36,0.065854179,,,,,,
36.25,0.078967175,,,,,,
36.5,0.087776053,,,,,,
36.75,0.091575818,,,,,,
37,0.097589657,,,,,,
37.25,0.109458993,,,,,,
37.5,0.125500898,,,,,,
37.75,0.138747164,,,,,,
38,0.14850784,,,,,,
38.25,0.154015586,,,,,,
38.5,0.154473139,,,,,,
38.75,0.148810172,,,,,,
39,0.140647032,,,,,,
39.25,0.137434414,,,,,,
39.5,0.138701315,,,,,,
39.75,0.14396119,,,,,,
40,0.152712019,,,,,,
40.25,0.163549817,,,,,,
40.5,0.16991129,,,,,,
40.75,0.170104566,,,,,,
41,0.163248675,,,,,,
41.25,0.150877175,,,,,,
41.5,0.142322933,,,,,,
41.75,0.137099852,,,,,,
42,0.134705942,,,,,,
42.25,0.134623522,,,,,,
42.5,0.136319325,,,,,,
42.75,0.13924447,,,,,,
43,0.142834155,,,,,,
43.25,0.146473972,,,,,,
43.5,0.142877071,,,,,,
43.75,0.133418394,,,,,,
44,0.126516211,,,,,,
44.25,0.121656122,,,,,,
44.5,0.118308653,,,,,,
44.75,0.115929309,,,,,,
45,0.113958492,,,,,,
45.25,0.111821306,,,,,,
45.5,0.108927212,,,,,,
45.75,0.104669552,,,,,,
46,0.098425039,,,,,,
46.25,0.08930531,,,,,,
46.5,0.085443895,,,,,,
46.75,0.086300384,,,,,,
47,0.087736308,,,,,,
47.25,0.089188414,,,,,,
47.5,0.090079777,,,,,,
47.75,0.089819509,,,,,,
48,0.087802321,,,,,,
48.25,0.083407958,,,,,,
48.5,0.076000496,,,,,,
48.75,0.064927483,,,,,,
49,0.049519426,,,,,,
49.25,0.032273359,,,,,,
49.5,0.022910741,,,,,,
49.75,0.021791885,,,,,,
50,0.02861441,,,,,,
50.25,0.040122894,,,,,,
50.5,0.049431445,,,,,,
50.75,0.055790449,,,,,,
51,0.058565978,,,,,,
51.25,0.057110045,,,,,,
51.5,0.050759641,,,,,,
51.75,0.038835643,,,,,,
52,0.020642328,,,,,,
52.25,-0.002547021,,,,,,
52.5,-0.020202015,,,,,,
52.75,-0.031009797,,,,,,
53,-0.035313819,,,,,,
53.25,-0.03346808,,,,,,
53.5,-0.025836431,,,,,,
53.75,-0.012791944,,,,,,
54,0.003727972,,,,,,
54.25,0.015544061,,,,,,
54.5,0.021004604,,,,,,
54.75,0.019427357,,,,,,
55,0.010114782,,,,,,
55.25,-0.007650033,,,,,,
55.5,-0.031970779,,,,,,
55.75,-0.051278602,,,,,,
56,-0.065260657,,,,,,
56.25,-0.074303677,,,,,,
56.5,-0.078802707,,,,,,
56.75,-0.079160636,,,,,,
57,-0.075787797,,,,,,
57.25,-0.069101652,,,,,,
57.5,-0.059526547,,,,,,
57.75,-0.047493549,,,,,,
59,-0.065809368,,,,,,
59.25,-0.080270979,,,,,,
59.5,-0.091102836,,,,,,
59.75,-0.098730804,,,,,,
60,-0.103586618,,,,,,
60.25,-0.106107807,,,,,,
60.5,-0.106737548,,,,,,
60.75,-0.105924601,,,,,,
61,-0.104123302,,,,,,
61.25,-0.101793637,,,,,,
61.5,-0.099401378,,,,,,
61.75,-0.097418286,,,,,,
62,-0.096322463,,,,,,
62.25,-0.096598282,,,,,,
62.5,-0.105118855,,,,,,
62.75,-0.110745914,,,,,,
63,-0.114180898,,,,,,
63.25,-0.115896982,,,,,,
63.5,-0.116348815,,,,,,
63.75,-0.115994993,,,,,,
64,-0.115298098,,,,,,
64.25,-0.114724809,,,,,,
64.5,-0.114746062,,,,,,
64.75,-0.115837281,,,,,,
65,-0.118478551,,,,,,
65.25,-0.123155456,,,,,,
65.5,-0.130358468,,,,,,
65.75,-0.140584376,,,,,,
66,-0.15433628,,,,,,
66.25,-0.172124214,,,,,,
66.5,-0.181003008,,,,,,
66.75,-0.173715288,,,,,,
67,-0.156870302,,,,,,
67.25,-0.14418357,,,,,,
67.5,-0.132394365,,,,,,
67.75,-0.121974277,,,,,,
68,-0.113397878,,,,,,
68.25,-0.107141658,,,,,,
68.5,-0.103687145,,,,,,
68.75,-0.103518537,,,,,,
69,-0.107124522,,,,,,
69.25,-0.114998474,,,,,,
69.5,-0.127638948,,,,,,
69.75,-0.145550224,,,,,,
70,-0.16924286,,,,,,
70.25,-0.199234278,,,,,,
70.5,-0.221310509,,,,,,
70.75,-0.22732687,,,,,,
71,-0.222968336,,,,,,
71.25,-0.208557388,,,,,,
71.5,-0.184423777,,,,,,
71.75,-0.150897968,,,,,,
72,-0.125243319,,,,,,
72.25,-0.105264453,,,,,,
72.5,-0.089976414,,,,,,
72.75,-0.079855757,,,,,,
73,-0.075382575,,,,,,
73.25,-0.077041006,,,,,,
73.5,-0.085319749,,,,,,
73.75,-0.1007126,,,,,,
74,-0.123716925,,,,,,
74.25,-0.15484447,,,,,,
74.5,-0.194601366,,,,,,
74.75,-0.217522636,,,,,,
75,-0.229359131,,,,,,
75.25,-0.232894745,,,,,,
75.5,-0.228484672,,,,,,
75.75,-0.216485753,,,,,,
76,-0.197256253,,,,,,
76.25,-0.171155692,,,,,,
76.5,-0.138544725,,,,,,
76.75,-0.099785068,,,,,,
77,-0.067861791,,,,,,
77.25,-0.049560075,,,,,,
77.5,-0.039389517,,,,,,
77.75,-0.037814974,,,,,,
78,-0.045307918,,,,,,
78.25,-0.062344881,,,,,,
78.5,-0.08940788,,,,,,
78.75,-0.126984819,,,,,,
79,-0.161738048,,,,,,
79.25,-0.179155093,,,,,,
79.5,-0.190134525,,,,,,
79.75,-0.1950514,,,,,,
80,-0.19428111,,,,,,
80.25,-0.188199106,,,,,,
80.5,-0.177181388,,,,,,
80.75,-0.161604061,,,,,,
81,-0.141843658,,,,,,
81.25,-0.118277196,,,,,,
81.5,-0.091282319,,,,,,
81.75,-0.06123746,,,,,,
82,-0.028522038,,,,,,
82.25,-0.003756433,,,,,,
82.5,-9.87695E-06,,,,,,
82.75,-0.007835166,,,,,,
83,-0.027675819,,,,,,
83.25,-0.059997194,,,,,,
83.5,-0.090278821,,,,,,
83.75,-0.103663802,,,,,,
84,-0.112625961,,,,,,
84.25,-0.117549173,,,,,,
84.5,-0.118816566,,,,,,
84.75,-0.116810639,,,,,,
85,-0.111913411,,,,,,
85.25,-0.104506591,,,,,,
85.5,-0.094971766,,,,,,
85.75,-0.083690605,,,,,,
86,-0.071046874,,,,,,
86.25,-0.057417731,,,,,,
86.5,-0.043191847,,,,,,
86.75,-0.028751792,,,,,,
87,-0.014483233,,,,,,
87.25,-0.000773419,,,,,,
87.5,0.011988545,,,,,,
87.75,0.010548308,,,,,,
88,-0.016400324,,,,,,
88.25,-0.022210723,,,,,,
88.5,-0.023818471,,,,,,
88.75,-0.023201828,,,,,,
89,-0.020740003,,,,,,
89.25,-0.016812676,,,,,,
89.5,-0.011795815,,,,,,
89.75,-0.006066308,,,,,,
90,0,,,,,,
90.25,0.00602763,,,,,,
90.5,0.011641221,,,,,,
90.75,0.01646529,,,,,,
91,0.020123987,,,,,,
91.25,0.022240855,,,,,,
91.5,0.022438593,,,,,,
91.75,0.020338831,,,,,,
92,0.015564328,,,,,,
92.25,0.007726663,,,,,,
92.5,-0.00354976,,,,,,
92.75,-0.01861345,,,,,,
93,0.001674282,,,,,,
93.25,0.034790016,,,,,,
93.5,0.053811266,,,,,,
93.75,0.068473007,,,,,,
94,0.082606891,,,,,,
94.25,0.095851741,,,,,,
94.5,0.107847451,,,,,,
94.75,0.11823475,,,,,,
95,0.126654681,,,,,,
95.25,0.132749909,,,,,,
95.5,0.136161465,,,,,,
95.75,0.136531619,,,,,,
96,0.13350217,,,,,,
96.25,0.126714605,,,,,,
96.5,0.115809957,,,,,,
96.75,0.100428693,,,,,,
97,0.080210621,,,,,,
97.25,0.054794825,,,,,,
97.5,0.023819631,,,,,,
97.75,0.015330187,,,,,,
98,0.024373776,,,,,,
98.25,0.043501215,,,,,,
98.5,0.072290854,,,,,,
98.75,0.110343637,,,,,,
99,0.157259639,,,,,,
99.25,0.191393543,,,,,,
99.5,0.213540533,,,,,,
99.75,0.231970891,,,,,,
100,0.246352688,,,,,,
100.25,0.256354627,,,,,,
100.5,0.261645943,,,,,,
100.75,0.261896336,,,,,,
101,0.256782639,,,,,,
101.25,0.245955234,,,,,,
101.5,0.229105211,,,,,,
101.75,0.205897274,,,,,,
102,0.176003394,,,,,,
102.25,0.139096222,,,,,,
102.5,0.106627259,,,,,,
102.75,0.098846904,,,,,,
103,0.098981607,,,,,,
104,0.170425587,,,,,,
104.25,0.204013376,,,,,,
104.5,0.243070087,,,,,,
104.75,0.287217459,,,,,,
105,0.331701136,,,,,,
105.25,0.35004136,,,,,,
105.5,0.361839598,,,,,,
105.75,0.366801689,,,,,,
106,0.364634845,,,,,,
107,0.278908372,,,,,,
107.25,0.236737946,,,,,,
107.5,0.219873791,,,,,,
107.75,0.210481449,,,,,,
108,0.206565028,,,,,,
108.25,0.207720244,,,,,,
108.5,0.213547012,,,,,,
108.75,0.223649064,,,,,,
109,0.237633585,,,,,,
110,0.324621639,,,,,,
110.25,0.352242269,,,,,,
110.5,0.381422263,,,,,,
110.75,0.411803225,,,,,,
111,0.428540327,,,,,,
111.25,0.424166047,,,,,,
111.5,0.410584822,,,,,,
111.75,0.387557665,,,,,,
112,0.354849896,,,,,,
113,0.317215218,,,,,,
113.25,0.317452265,,,,,,
113.5,0.320055093,,,,,,
113.75,0.324644418,,,,,,
114,0.33085005,,,,,,
114.25,0.338304959,,,,,,
114.5,0.346645026,,,,,,
114.75,0.355508825,,,,,,
115,0.364537419,,,,,,
116,0.395193046,,,,,,
116.25,0.399744908,,,,,,
116.5,0.402346296,,,,,,
116.75,0.40265903,,,,,,
117,0.396724913,,,,,,
117.25,0.396376106,,,,,,
117.5,0.397539733,,,,,,
117.75,0.399859775,,,,,,
118,0.402984597,,,,,,
119,0.416641269,,,,,,
119.25,0.418652467,,,,,,
119.5,0.419440724,,,,,,
119.75,0.418678679,,,,,,
120,0.416043642,,,,,,
120.25,0.411216235,,,,,,
120.5,0.403880442,,,,,,
120.75,0.393723675,,,,,,
121,0.380436898,,,,,,
121.25,0.363714787,,,,,,
121.5,0.353308103,,,,,,
121.75,0.360602537,,,,,,
122,0.37531156,,,,,,
122.25,0.396950794,,,,,,
122.5,0.425045244,,,,,,
122.75,0.439256063,,,,,,
123,0.44914518,,,,,,
123.25,0.457253674,,,,,,
123.5,0.46328061,,,,,,
123.75,0.466929176,,,,,,
124,0.467906728,,,,,,
124.25,0.465924857,,,,,,
124.5,0.460699501,,,,,,
124.75,0.451951087,,,,,,
125,0.439404703,,,,,,
125.25,0.422790315,,,,,,
125.5,0.401843006,,,,,,
125.75,0.376303259,,,,,,
126,0.362813268,,,,,,
126.25,0.358417938,,,,,,
126.5,0.359278994,,,,,,
126.75,0.364931932,,,,,,
127,0.37492258,,,,,,
127.25,0.388805419,,,,,,
127.5,0.406142983,,,,,,
127.75,0.426505311,,,,,,
128,0.449469438,,,,,,
128.25,0.46524562,,,,,,
128.5,0.470312964,,,,,,
128.75,0.470929864,,,,,,
129,0.466856028,,,,,,
129.25,0.457856941,,,,,,
129.5,0.443704175,,,,,,
129.75,0.424175746,,,,,,
130,0.399886418,,,,,,
130.25,0.387929458,,,,,,
130.5,0.379806128,,,,,,
130.75,0.375072578,,,,,,
131,0.373295006,,,,,,
131.25,0.374048431,,,,,,
131.5,0.376917519,,,,,,
131.75,0.38149481,,,,,,
132,0.387380988,,,,,,
132.25,0.394184409,,,,,,
132.5,0.401520815,,,,,,
132.75,0.409013093,,,,,,
133,0.416291092,,,,,,
133.25,0.422991486,,,,,,
133.5,0.422987898,,,,,,
133.75,0.411989707,,,,,,
134,0.399350451,,,,,,
134.25,0.393072885,,,,,,
134.5,0.388887431,,,,,,
134.75,0.386385138,,,,,,
135,0.385166778,,,,,,
135.25,0.384842446,,,,,,
135.5,0.385031232,,,,,,
135.75,0.385360941,,,,,,
136,0.385467314,,,,,,
136.25,0.384996637,,,,,,
136.5,0.38360007,,,,,,
136.75,0.380939134,,,,,,
137,0.376682909,,,,,,
137.25,0.370508622,,,,,,
137.5,0.36240756,,,,,,
137.75,0.361688293,,,,,,
138,0.366630376,,,,,,
138.25,0.375375645,,,,,,
138.5,0.382164094,,,,,,
138.75,0.388666243,,,,,,
139,0.394530629,,,,,,
139.25,0.399415019,,,,,,
139.5,0.402986332,,,,,,
139.75,0.404920629,,,,,,
140,0.404903141,,,,,,
140.25,0.402628359,,,,,,
140.5,0.39780016,,,,,,
140.75,0.390218047,,,,,,
141,0.385523767,,,,,,
141.25,0.385549067,,,,,,
141.5,0.38976231,,,,,,
141.75,0.39765007,,,,,,
142,0.408713339,,,,,,
142.25,0.422466851,,,,,,
142.5,0.439582681,,,,,,
142.75,0.456991381,,,,,,
143,0.471653801,,,,,,
143.25,0.483263336,,,,,,
143.5,0.491519763,,,,,,
143.75,0.501540386,,,,,,
144,0.52104618,,,,,,
144.25,0.546410024,,,,,,
144.5,0.577350617,,,,,,
144.75,0.613624028,,,,,,
145,0.655024073,,,,,,