0.1t,0.1contact_diameter,0.1drop_height,0.1contact_angle,0.1actual_angle
0,37,70,150.3920397,-29.60796031
10000,37,70,150.3920397,-29.60796031
20000,37,70,150.3920397,-29.60796031
30000,37,70,150.3920397,-29.60796031
40000,37,70,150.3920397,-29.60796031
50000,37,70,150.3920397,-29.60796031
60000,37,70,150.3920397,-29.60796031
70000,37,70,150.3920397,-29.60796031
80000,37,70,150.3920397,-29.60796031
90000,37,70,150.3920397,-29.60796031
100000,37,69,149.9821726,-30.01782735
110000,37,69,149.9821726,-30.01782735
120000,37,69,149.9821726,-30.01782735
130000,37,69,149.9821726,-30.01782735
140000,37,69,149.9821726,-30.01782735
150000,37,69,149.9821726,-30.01782735
160000,37,69,149.9821726,-30.01782735
170000,37,68,149.5610703,-30.43892966
180000,37,68,149.5610703,-30.43892966
190000,37,68,149.5610703,-30.43892966
200000,37,68,149.5610703,-30.43892966
210000,37,68,149.5610703,-30.43892966
220000,37,67,149.1282762,-30.87172377
230000,37,67,149.1282762,-30.87172377
240000,37,67,149.1282762,-30.87172377
250000,37,67,149.1282762,-30.87172377
260000,37,66,148.6833094,-31.3166906
270000,37,66,148.6833094,-31.3166906
280000,37,66,148.6833094,-31.3166906
290000,37,66,148.6833094,-31.3166906
300000,37,66,148.6833094,-31.3166906
310000,37,65,148.225663,-31.77433701
320000,35,65,149.8630237,-30.13697632
330000,35,65,149.8630237,-30.13697632
340000,35,65,149.8630237,-30.13697632
350000,35,64,149.4140246,-30.58597537
360000,35,64,149.4140246,-30.58597537
370000,35,64,149.4140246,-30.58597537
380000,35,64,149.4140246,-30.58597537
390000,35,63,148.951778,-31.04822199
400000,35,63,148.951778,-31.04822199
410000,35,63,148.951778,-31.04822199
420000,35,63,148.951778,-31.04822199
430000,35,63,148.951778,-31.04822199
440000,35,62,148.4757045,-31.52429553
450000,35,62,148.4757045,-31.52429553
460000,35,62,148.4757045,-31.52429553
470000,35,62,148.4757045,-31.52429553
480000,35,61,147.9851914,-32.01480859
490000,33,61,149.728329,-30.27167101
500000,33,61,149.728329,-30.27167101
510000,33,61,149.728329,-30.27167101
520000,33,60,149.2474975,-30.7525025
530000,33,60,149.2474975,-30.7525025
540000,33,60,149.2474975,-30.7525025
550000,33,60,149.2474975,-30.7525025
560000,33,59,148.7515308,-31.24846916
570000,33,59,148.7515308,-31.24846916
580000,33,59,148.7515308,-31.24846916
590000,33,59,148.7515308,-31.24846916
600000,33,58,148.2397224,-31.76027755
610000,31,58,150.0756895,-29.92431051
620000,31,58,150.0756895,-29.92431051
630000,31,58,150.0756895,-29.92431051
640000,31,57,149.5748343,-30.42516574
650000,31,57,149.5748343,-30.42516574
660000,31,57,149.5748343,-30.42516574
670000,31,57,149.5748343,-30.42516574
680000,31,56,149.0573437,-30.94265633
690000,31,56,149.0573437,-30.94265633
700000,31,56,149.0573437,-30.94265633
710000,29,56,150.9666001,-29.03339992
720000,29,55,150.4616029,-29.53839706
730000,29,55,150.4616029,-29.53839706
740000,29,55,150.4616029,-29.53839706
750000,29,55,150.4616029,-29.53839706
760000,29,54,149.939139,-30.06086105
770000,29,54,149.939139,-30.06086105
780000,29,54,149.939139,-30.06086105
790000,29,54,149.939139,-30.06086105
800000,29,53,149.3983089,-30.60169114
810000,27,53,151.4193498,-28.58065016
820000,27,53,151.4193498,-28.58065016
830000,27,52,150.8928544,-29.10714558
840000,27,52,150.8928544,-29.10714558
850000,27,52,150.8928544,-29.10714558
860000,27,52,150.8928544,-29.10714558
870000,27,51,150.3470401,-29.65295994
880000,27,51,150.3470401,-29.65295994
890000,27,51,150.3470401,-29.65295994
900000,25,51,152.4568006,-27.54319943
910000,25,50,151.9275131,-28.07248694
920000,25,50,151.9275131,-28.07248694
930000,25,50,151.9275131,-28.07248694
940000,25,49,151.3779175,-28.62208253
950000,25,49,151.3779175,-28.62208253
960000,25,49,151.3779175,-28.62208253
970000,25,49,151.3779175,-28.62208253
980000,23,48,153.0536838,-26.94631623
990000,23,48,153.0536838,-26.94631623
1000000,23,48,153.0536838,-26.94631623
1010000,23,48,153.0536838,-26.94631623
1020000,23,47,152.501902,-27.49809797
1030000,23,47,152.501902,-27.49809797
1040000,23,47,152.501902,-27.49809797
1050000,23,46,151.9275131,-28.07248694
1060000,21,46,154.2838197,-25.71618035
1070000,21,46,154.2838197,-25.71618035
1080000,21,46,154.2838197,-25.71618035
1090000,21,45,153.7319554,-26.26804461
1100000,21,45,153.7319554,-26.26804461
1110000,21,45,153.7319554,-26.26804461
1120000,21,44,153.1563299,-26.84367014
1130000,21,44,153.1563299,-26.84367014
1140000,19,44,155.6326868,-24.36731317
1150000,19,43,155.0835071,-24.91649288
1160000,19,43,155.0835071,-24.91649288
1170000,19,43,155.0835071,-24.91649288
1180000,19,43,155.0835071,-24.91649288
1190000,19,42,154.5094211,-25.49057895
1200000,19,42,154.5094211,-25.49057895
1210000,17,42,157.1179123,-22.88208774
1220000,17,41,156.5750554,-23.42494462
1230000,17,41,156.5750554,-23.42494462
1240000,17,41,156.5750554,-23.42494462
1250000,17,40,156.0062014,-23.99379862
1260000,17,40,156.0062014,-23.99379862
1270000,17,40,156.0062014,-23.99379862
1280000,15,39,158.2289459,-21.77105411
1290000,15,39,158.2289459,-21.77105411
1300000,15,39,158.2289459,-21.77105411
1310000,15,38,157.6702396,-22.32976036
1320000,15,38,157.6702396,-22.32976036
1330000,15,38,157.6702396,-22.32976036
1340000,15,37,157.0824953,-22.91750469
1350000,13,37,160.0723916,-19.92760838
1360000,13,37,160.0723916,-19.92760838
1370000,13,36,159.5303945,-20.46960553
1380000,13,36,159.5303945,-20.46960553
1390000,13,36,159.5303945,-20.46960553
1400000,13,35,158.9584314,-21.04156863
1410000,11,35,162.1388198,-17.8611802
1420000,11,34,161.6223278,-18.37767215
1430000,11,34,161.6223278,-18.37767215
1440000,11,34,161.6223278,-18.37767215
1450000,11,33,161.0753556,-18.92464442
1460000,11,33,161.0753556,-18.92464442
1470000,11,32,160.4951501,-19.50484988
1480000,9,32,163.9905423,-16.00945771
1490000,9,32,163.9905423,-16.00945771
1500000,9,31,163.481124,-16.51887596
1510000,9,31,163.481124,-16.51887596
1520000,9,30,162.9384688,-17.06153122
1530000,9,30,162.9384688,-17.06153122
1540000,7,29,166.2365527,-13.76344726
1550000,7,29,166.2365527,-13.76344726
1560000,7,29,166.2365527,-13.76344726
1570000,7,28,165.7499673,-14.2500327
1580000,7,28,165.7499673,-14.2500327
1590000,7,27,165.2279137,-14.7720863
1600000,5,27,169.4198376,-10.58016241
1610000,5,26,169.0153509,-10.98464911
1620000,5,25,168.5788137,-11.42118627
1630000,5,25,168.5788137,-11.42118627
1640000,5,24,168.1062739,-11.89372611
1650000,5,24,168.1062739,-11.89372611
1660000,3,23,172.537206,-7.462793998
1670000,3,22,172.1990125,-7.800987485
1680000,3,22,172.1990125,-7.800987485
1690000,3,21,171.8287664,-8.17123356
1700000,1,20,177.1358076,-2.864192368
1710000,1,20,177.1358076,-2.864192368
1720000,1,19,176.9851285,-3.014871518
1730000,1,18,176.8177195,-3.182280542
1740000,1,17,176.6306314,-3.369368636
1750000,1,16,176.4201788,-3.579821216
1760000,1,15,176.1816951,-3.818304866
1770000,1,14,175.909183,-4.090816978
1780000,1,12,175.2281119,-4.771888061
1790000,1,10,174.2751895,-5.724810452
1797046,0,0,0,-180