t,t = 0 (Before evaporation),t = 5 x 10^6 (After evaporation),t = 0 (Before condensation),t = 5 x 10^6 (After condensation),before_evaporation,after_evaporation,before_cond,after_cond
1,1,1.002073,1,0 0.997504 ,1,1.002073,1,0 0.997504 
2,1,1.002073,1,0.997504,1,1.002073,1,0.997504
3,1,1.002073,1,0.997504,1,1.002073,1,0.997504
4,1,1.002073,1,0.997504,1,1.002073,1,0.997504
5,1,1.002073,1,0.997504,1,1.002073,1,0.997504
6,1,1.002072,1,0.997504,1,1.002072,1,0.997504
7,1,1.002072,1,0.997503,1,1.002072,1,0.997503
8,1,1.002072,1,0.997503,1,1.002072,1,0.997503
9,1,1.002072,1,0.997503,1,1.002072,1,0.997503
10,1,1.002072,1,0.997502,1,1.002072,1,0.997502
11,1,1.002071,1,0.997502,1,1.002071,1,0.997502
12,1,1.002071,1,0.997501,1,1.002071,1,0.997501
13,1,1.002071,1,0.9975,1,1.002071,1,0.9975
14,1,1.002071,1,0.9975,1,1.002071,1,0.9975
15,1,1.00207,1,0.997499,1,1.00207,1,0.997499
16,1,1.00207,1,0.997498,1,1.00207,1,0.997498
17,1,1.00207,1,0.997497,1,1.00207,1,0.997497
18,1,1.002069,1,0.997496,1,1.002069,1,0.997496
19,1,1.002069,1,0.997495,1,1.002069,1,0.997495
20,1,1.002068,1,0.997494,1,1.002068,1,0.997494
21,1,1.002068,1,0.997493,1,1.002068,1,0.997493
22,1,1.002067,1,0.997492,1,1.002067,1,0.997492
23,1,1.002067,1,0.99749,1,1.002067,1,0.99749
24,1,1.002066,1,0.997489,1,1.002066,1,0.997489
25,1,1.002065,1,0.997488,1,1.002065,1,0.997488
26,1,1.002065,1,0.997486,1,1.002065,1,0.997486
27,1,1.002064,1,0.997485,1,1.002064,1,0.997485
28,1,1.002063,1,0.997483,1,1.002063,1,0.997483
29,1,1.002063,1,0.997482,1,1.002063,1,0.997482
30,1,1.002062,1,0.99748,1,1.002062,1,0.99748
31,1,1.002061,1,0.997478,1,1.002061,1,0.997478
32,1,1.00206,1,0.997476,1,1.00206,1,0.997476
33,1,1.00206,1,0.997474,1,1.00206,1,0.997474
34,1,1.002059,1,0.997472,1,1.002059,1,0.997472
35,1,1.002058,1,0.99747,1,1.002058,1,0.99747
36,1,1.002057,1,0.997468,1,1.002057,1,0.997468
37,1,1.002056,1,0.997466,1,1.002056,1,0.997466
38,1,1.002055,1,0.997464,1,1.002055,1,0.997464
39,1,1.002054,1,0.997462,1,1.002054,1,0.997462
40,1,1.002053,1,0.99746,1,1.002053,1,0.99746
41,1,1.002052,1,0.997457,1,1.002052,1,0.997457
42,1,1.002051,1,0.997455,1,1.002051,1,0.997455
43,1,1.00205,1,0.997452,1,1.00205,1,0.997452
44,1,1.002048,1,0.99745,1,1.002048,1,0.99745
45,1,1.002047,1,0.997447,1,1.002047,1,0.997447
46,1,1.002046,1,0.997445,1,1.002046,1,0.997445
47,1,1.002045,1,0.997442,1,1.002045,1,0.997442
48,1,1.002044,1,0.997439,1,1.002044,1,0.997439
49,1,1.002042,1,0.997436,1,1.002042,1,0.997436
50,1,1.002041,1,0.997433,1,1.002041,1,0.997433
51,1,1.00204,1,0.99743,1,1.00204,1,0.99743
52,1,1.002038,1,0.997427,1,1.002038,1,0.997427
53,1,1.002037,1,0.997424,1,1.002037,1,0.997424
54,1,1.002035,1,0.997421,1,1.002035,1,0.997421
55,1,1.002034,1,0.997418,1,1.002034,1,0.997418
56,1,1.002032,1,0.997415,1,1.002032,1,0.997415
57,1,1.002031,1,0.997411,1,1.002031,1,0.997411
58,1,1.002029,1,0.997408,1,1.002029,1,0.997408
59,1,1.002028,1,0.997404,1,1.002028,1,0.997404
60,1,1.002026,1,0.997401,1,1.002026,1,0.997401
61,1,1.002024,1,0.997397,1,1.002024,1,0.997397
62,1,1.002023,1,0.997394,1,1.002023,1,0.997394
63,1,1.002021,1,0.99739,1,1.002021,1,0.99739
64,1,1.002019,1,0.997386,1,1.002019,1,0.997386
65,1,1.002017,1,0.997382,1,1.002017,1,0.997382
66,1,1.002015,1,0.997378,1,1.002015,1,0.997378
67,1,1.002013,1,0.997374,1,1.002013,1,0.997374
68,1,1.00201,1,0.99737,1,1.00201,1,0.99737
69,1,1.002006,1,0.997366,1,1.002006,1,0.997366
70,1,1.001999,1,0.997362,1,1.001999,1,0.997362
71,1,1.001984,1,0.997358,1,1.001984,1,0.997358
72,1,1.001951,1,0.997354,1,1.001951,1,0.997354
73,1,1.001878,1,0.997349,1,1.001878,1,0.997349
74,1,1.001707,1,0.997345,1,1.001707,1,0.997345
75,1,1.001306,1,0.99734,1,1.001306,1,0.99734
76,1,1.000362,1,0.997336,1,1.000362,1,0.997336
77,1,0.998137,1,0.997331,1,0.998137,1,0.997331
78,1,0.992899,1,0.997326,1,0.992899,1,0.997326
79,1,0.980611,1,0.997322,1,0.980611,1,0.997322
80,1,0.952054,1,0.997317,1,0.952054,1,0.997317
81,1,0.887134,1,0.997312,1,0.887134,1,0.997312
82,1,0.746863,1,0.997306,1,0.746863,1,0.997306
83,1,0.476106,1,0.9973,1,0.476106,1,0.9973
84,1,0.060292,-1,0.997293,1,0.060292,-1,0.997293
85,1,-0.379595,-1,0.997282,1,-0.379595,-1,0.997282
86,1,-0.692192,-1,0.997263,1,-0.692192,-1,0.997263
87,1,-0.862459,-1,0.997227,1,-0.862459,-1,0.997227
88,1,-0.943718,-1,0.997149,1,-0.943718,-1,0.997149
89,1,-0.98064,-1,0.996973,1,-0.98064,-1,0.996973
90,1,-0.997502,-1,0.996566,1,-0.997502,-1,0.996566
91,1,-1.005657,-1,0.995618,1,-1.005657,-1,0.995618
92,1,-1.010101,-1,0.993399,1,-1.010101,-1,0.993399
93,1,-1.012975,-1,0.988204,1,-1.012975,-1,0.988204
94,1,-1.015185,-1,0.976081,1,-1.015185,-1,0.976081
95,1,-1.017114,-1,0.948042,1,-1.017114,-1,0.948042
96,1,-1.01892,-1,0.884583,1,-1.01892,-1,0.884583
97,1,-1.020672,-1,0.747919,1,-1.020672,-1,0.747919
98,1,-1.022396,-1,0.484272,1,-1.022396,-1,0.484272
99,1,-1.024105,-1,0.077205,1,-1.024105,-1,0.077205
100,-1,-1.025803,-1,-0.359014,-1,-1.025803,-1,-0.359014
101,-1,-1.027493,-1,-0.673208,-1,-1.027493,-1,-0.673208
102,-1,-1.029175,-1,-0.84523,-1,-1.029175,-1,-0.84523
103,-1,-1.03085,-1,-0.926365,-1,-1.03085,-1,-0.926365
104,-1,-1.032518,-1,-0.961468,-1,-1.032518,-1,-0.961468
105,-1,-1.03418,-1,-0.975407,-1,-1.03418,-1,-0.975407
106,-1,-1.035834,-1,-0.97999,-1,-1.035834,-1,-0.97999
107,-1,-1.037481,-1,-0.980493,-1,-1.037481,-1,-0.980493
108,-1,-1.039122,-1,-0.97922,-1,-1.039122,-1,-0.97922
109,-1,-1.040757,-1,-0.977169,-1,-1.040757,-1,-0.977169
110,-1,-1.042384,-1,-0.974769,-1,-1.042384,-1,-0.974769
111,-1,-1.044005,-1,-0.972206,-1,-1.044005,-1,-0.972206
112,-1,-1.04562,-1,-0.96956,-1,-1.04562,-1,-0.96956
113,-1,-1.047229,-1,-0.966867,-1,-1.047229,-1,-0.966867
114,-1,-1.04883,-1,-0.96414,-1,-1.04883,-1,-0.96414
115,-1,-1.050426,-1,-0.961387,-1,-1.050426,-1,-0.961387
116,-1,-1.052015,-1,-0.958609,-1,-1.052015,-1,-0.958609
117,-1,-1.053599,-1,-0.955807,-1,-1.053599,-1,-0.955807
118,-1,-1.055176,-1,-0.952981,-1,-1.055176,-1,-0.952981
119,-1,-1.056746,-1,-0.95013,-1,-1.056746,-1,-0.95013
120,-1,-1.058311,-1,-0.947255,-1,-1.058311,-1,-0.947255
121,-1,-1.05987,-1,-0.944354,-1,-1.05987,-1,-0.944354
122,-1,-1.061423,-1,-0.941427,-1,-1.061423,-1,-0.941427
123,-1,-1.06297,-1,-0.938473,-1,-1.06297,-1,-0.938473
124,-1,-1.064511,-1,-0.935491,-1,-1.064511,-1,-0.935491
125,-1,-1.066046,-1,-0.93248,-1,-1.066046,-1,-0.93248
126,-1,-1.067575,-1,-0.929439,-1,-1.067575,-1,-0.929439
127,-1,-1.069098,-1,-0.926368,-1,-1.069098,-1,-0.926368
128,-1,-1.070616,-1,-0.923265,-1,-1.070616,-1,-0.923265
129,-1,-1.072128,-1,-0.92013,-1,-1.072128,-1,-0.92013
130,-1,-1.073635,-1,-0.91696,-1,-1.073635,-1,-0.91696
131,-1,-1.075136,-1,-0.913756,-1,-1.075136,-1,-0.913756
132,-1,-1.076631,-1,-0.910516,-1,-1.076631,-1,-0.910516
133,-1,-1.078121,-1,-0.907239,-1,-1.078121,-1,-0.907239
134,-1,-1.079605,-1,-0.903923,-1,-1.079605,-1,-0.903923
135,-1,-1.081084,-1,-0.900567,-1,-1.081084,-1,-0.900567
136,-1,-1.082557,-1,-0.89717,-1,-1.082557,-1,-0.89717
137,-1,-1.084025,-1,-0.89373,-1,-1.084025,-1,-0.89373
138,-1,-1.085488,-1,-0.890245,-1,-1.085488,-1,-0.890245
139,-1,-1.086945,-1,-0.886716,-1,-1.086945,-1,-0.886716
140,-1,-1.088397,-1,-0.883141,-1,-1.088397,-1,-0.883141
141,-1,-1.089843,-1,-0.879521,-1,-1.089843,-1,-0.879521
142,-1,-1.091284,-1,-0.875861,-1,-1.091284,-1,-0.875861
143,-1,-1.092718,-1,-0.87217,-1,-1.092718,-1,-0.87217
144,-1,-1.094144,-1,-0.86847,-1,-1.094144,-1,-0.86847
145,-1,-1.095554,-1,-0.864805,-1,-1.095554,-1,-0.864805
146,-1,-1.096934,-1,-0.861264,-1,-1.096934,-1,-0.861264
147,-1,-1.098241,-1,-0.858023,-1,-1.098241,-1,-0.858023
148,-1,-1.099362,-1,-0.855424,-1,-1.099362,-1,-0.855424
149,-1,-1.1,-1,-0.85413,-1,-1.1,-1,-0.85413
150,-1,-1.099362,-1,-0.855424,-1,-1.099362,-1,-0.855424