points,lbm,mol
324,0.47,0.63
784,0.23,0.89
1444,0.41,1.39
2304,0.45,0.85
3364,0.64,1.25
4624,0.87,1.7
6084,1.14,2.22
7744,1.45,2.81
9604,1.81,3.45
11664,2.22,4.19
13924,2.65,4.98
16384,3.13,6.03
19044,3.66,6.87
21904,4.2,7.97
24964,4.78,8.72
28224,5.39,9.6
31684,6.25,10.78
35344,6.75,12.13
39204,7.52,13.36
43264,8.18,14.78
47524,8.81,16.27
51984,9.59,17.67
56644,10.73,19.29
61504,11.38,20.89
66564,12.43,22.62
71824,13.59,24.58
77284,15.27,27.3
82944,17.47,28.6
88804,23.51,30.61
94864,23.87,32.47
101124,26.88,34.65
107584,29.95,37.04
114244,45.98,39.1
121104,36.02,41.56
128164,39.14,44.21
135424,42.58,47.12
142884,47.23,49.17
150544,45.96,52.47
158404,48.7,55.26
166464,55.3,57.78
174724,53.99,64.14
183184,74.59,64.13
191844,59.16,66.8
200704,75.64,70.98
209764,65.03,73.81
219024,80.17,77.84
228484,70.41,83.04
238144,75.26,84.4
248004,94.35,88.69
258064,80.06,95.16
268324,84.84,99.49
278784,90.46,101.33
289444,94.21,104.62
300304,103.76,107.54
311364,102.37,116.12
322624,108.91,115.07
334084,106.37,121.85
345744,111.24,127.24
357604,140.81,132.59
369664,154.59,134.16
381924,139,139.24
394384,136.86,141.09
407044,142.03,147.84
419904,145.57,150.72
432964,168.07,157.21
446224,185.46,161.01
459684,147.17,166.22
473344,155.47,174.13
487204,174.9,175.28
501264,175.46,183.14
515524,169.27,186.3
529984,199.59,193.07
544644,188.71,197.22
559504,198.48,206.11
574564,212.31,208.72
589824,192.22,217.49
605284,251.55,225.08
620944,214.23,224.57
636804,215.16,234
652864,252.09,240.08
669124,240.49,246.97
685584,234.9,249.4
702244,227.93,258.6
719104,244.31,261.01
736164,254.54,268.02
753424,263.99,276.66
770884,265.88,278.66
788544,267.1,285.36
806404,270.15,298.47
824464,353.61,301.56
842724,313.48,307.66
861184,301.33,318.15
879844,304.44,315.07
898704,305.68,323.16
917764,315.92,337.1
937024,333.4,341.33
956484,338.8,344.82
976144,386.89,360.99
996004,368.4,358.46
1016064,366.39,363.34
1036324,370.21,380.38
1056784,412.19,377.86
1077444,393.47,389.04
1098304,391.04,394.78
1119364,397.27,402.83
1140624,406.13,414.28
1162084,412.67,440.05
1183744,425.56,449.89
1205604,493,462.37
1227664,476.16,460.71
1249924,459.32,460.89
1272384,455.43,458.96
1295044,465.72,481.47
1317904,469.44,474.35
1340964,477.33,489.59
1364224,492.11,497.11
1387684,562.05,495.3
1411344,589.51,506.9
1435204,578.43,524.99
1459264,555.79,527.41
1483524,576.84,535.38
1507984,592.15,552.11
1532644,600.01,552.4
1557504,608.98,557.55
1582564,612.39,574.43
1607824,,585.29
1633284,653.46,586.44
1658944,,606.97
1684804,,602.45
1710864,660.16,612.52
1737124,709.25,634.92
1763584,,644.42
1790244,,660.07
1817104,,666.15
1844164,705.47,660.07
1871424,671.59,672.46
1898884,683.34,691.71
1926544,675.52,692.67
1954404,688.12,709.13
1982464,720.9,723.85
2010724,715.92,729.41
2039184,717,760.29
2067844,736.07,781.67
2096704,756.76,761.84
2125764,748.8,776.52
2155024,765.55,802.12
2184484,774.07,792.1
2214144,843.54,795.52
2244004,803.82,836.53
2274064,821.79,825.86